Kata,POS Tag,Frekuensi
pengembangan,NOUN,2
benerin,VERB,1
secepatnya,NOUN,2
kereeennnn,PROPN,1
trima,NOUN,1
paham,PROPN,1
mendownload,VERB,5
terdaftar,VERB,7
prabayar,NOUN,1
lamban,NOUN,1
dlwd,PROPN,1
ngontrol,NOUN,1
kata,NOUN,2
supportive,NOUN,1
memotivasi,VERB,2
serasa,VERB,4
support,NOUN,11
system,NOUN,1
beneran,NOUN,6
yuk,PROPN,7
kode,NOUN,52
hebcp,NOUN,1
menyukai,VERB,4
jurnaling,NOUN,1
buku,NOUN,1
mengakses,VERB,3
dimanapun,NOUN,3
berkaitan,VERB,1
lbih,NOUN,2
damai,ADJ,7
temani,PROPN,1
hening,NOUN,4
lari,NOUN,1
kemana,NOUN,1
beda,ADJ,3
melakukannya,VERB,1
insomnia,NOUN,1
mantul,PROPN,4
berlatih,VERB,1
merelakan,VERB,1
mengikhlaskan,NOUN,1
kejadiam,NOUN,1
buruk,ADJ,7
menghilangkan,VERB,5
kepalaku,NOUN,1
bercerita,VERB,6
sehabis,VERB,1
code,NOUN,3
brres,NOUN,1
self,PROPN,4
komplit,NOUN,1
pembelajaran,NOUN,3
ikuti,VERB,2
serangkaian,DET,1
menumbuhkan,VERB,1
manajemen,NOUN,2
sedikiit,PROPN,1
dng,NOUN,2
makes,NOUN,1
better,NOUN,6
berpendapat,VERB,1
dikesehatan,NOUN,1
managemen,NOUN,1
menginstall,VERB,1
ulang,NOUN,8
skrg,NOUN,7
barupun,NOUN,1
bsa,NUM,5
rileksasi,NOUN,3
panduan,NOUN,5
rilek,NOUN,1
berani,ADJ,2
aktif,ADJ,4
membanti,PROPN,1
alhamdulilah,NUM,2
berhasil,VERB,4
snang,NOUN,1
tnang,NUM,1
hakimin,NOUN,1
dipahami,VERB,2
membantukeren,NUM,1
nggak,NOUN,21
responsivenya,PROPN,1
diperbaikin,NUM,1
excited,NOUN,1
now,PROPN,1
cm,NOUN,3
latihan,NOUN,1
nambah,VERB,3
penambahan,NOUN,1
kaliya,PROPN,1
sifatnya,NOUN,2
personalprivate,NOUN,1
keep,NOUN,2
up,NOUN,7
work,PROPN,3
team,NOUN,2
mdh,PROPN,1
dibagian,NOUN,1
jurney,NOUN,1
gamau,NUM,1
bis,NOUN,1
tour,NOUN,1
ovo,NUM,1
bad,NOUN,2
dn,NOUN,4
t,NOUN,2
lha,NOUN,1
relax,PROPN,8
disuruh,VERB,13
kaga,PROPN,3
dipilih,VERB,1
eh,NOUN,7
uda,NOUN,5
dibikin,VERB,1
optimal,NOUN,1
pules,NUM,2
niat,NOUN,3
nulisnya,PROPN,1
page,NOUN,2
tap,NOUN,2
pagenya,NOUN,1
kesimpen,VERB,1
ancur,NOUN,1
tanggapannya,NOUN,1
kacau,ADJ,4
janji,NOUN,3
brapa,NOUN,1
cma,PROPN,2
bkn,PROPN,2
brrti,PROPN,1
tnggung,PROPN,1
jwb,PROPN,1
dampingan,NOUN,1
alpikasi,NUM,1
makasihh,PROPN,2
merasakan,VERB,5
hasilnya,NOUN,3
menceritakan,VERB,1
khawatir,VERB,1
membantukode,PROPN,1
refferal,PROPN,4
ycwxha,PROPN,1
baguuuus,PROPN,1
rilis,NOUN,1
tahap,NOUN,1
dasar,ADJ,5
playnya,NOUN,1
stuck,PROPN,1
sekrang,PROPN,1
knapa,NUM,2
kmana,NUM,1
mengiluti,PROPN,1
program,NOUN,2
vaksin,NOUN,1
covit,PROPN,1
jakarta,PROPN,1
tgl,PROPN,5
juli,PROPN,2
agustus,PROPN,1
penat,NOUN,4
inget,NOUN,2
sabar,NOUN,3
garagara,NUM,2
ngebuat,NOUN,1
bullying,NOUN,1
play,NOUN,3
victim,NOUN,1
option,NOUN,1
pulsa,NOUN,3
bolak,NOUN,1
lfa,NOUN,1
gara,NOUN,7
mengkontrol,NOUN,2
terimahkasih,NOUN,1
amin,PROPN,2
seminggibersma,PROPN,1
sangan,NOUN,1
gatau,PROPN,3
w,NOUN,1
berkualitas,VERB,2
x,NOUN,11
apllikasinya,PROPN,1
sinyal,NOUN,4
marah,VERB,3
sungguh,ADV,4
lelet,PROPN,1
mendengarkan,VERB,3
mengahakimi,NOUN,1
sakitnya,NOUN,1
ngefek,NOUN,1
dpt,NOUN,7
serangan,NOUN,1
ngak,NOUN,3
gegabah,NOUN,1
mksih,NOUN,1
rekomendasiin,PROPN,1
ketemen,PROPN,1
wkwkwk,NUM,3
development,PROPN,1
